team,season,seed,win_pct,off_rtg,def_rtg,net_rtg,srs,total_playoff_games,player1vorp,player2vorp,player3vorp,player4vorp,player5vorp,player6vorp,player7vorp,player8vorp,player9vorp,champ_scr
Utah Jazz,2021,1,0.722,117.6,108.3,9.3,8.96,332,3.8,2.8,2.6,2.6,1.7,1.6,1.2,0.9,0.1,0.4
Washington Wizards,2021,8,0.472,111.2,113.0,-1.7,-1.84,236,3.4,2.9,0.8,0.5,0.5,0.4,0.4,0.2,0.1,0.2
Atlanta Hawks,2022,9,0.524,116.5,114.9,1.6,1.55,360,4.8,2.1,1.6,1.5,1.5,0.8,0.7,0.4,0.4,0.2
Boston Celtics,2022,2,0.622,114.4,106.9,7.5,7.02,398,4.8,3.4,3.2,2.2,1.6,1.5,1.0,0.8,0.2,0.8
Brooklyn Nets,2022,7,0.537,113.6,112.8,0.8,0.82,573,4.8,1.4,1.2,1.2,0.8,0.7,0.6,0.3,0.1,0.2
Charlotte Hornets,2022,10,0.524,114.1,113.7,0.4,0.53,212,3.3,2.5,2.4,2.3,0.9,0.9,0.7,0.5,0.3,0
Chicago Bulls,2022,6,0.561,113.2,113.6,-0.4,-0.38,218,3.1,2.6,1.8,1.4,0.8,0.6,0.2,0.1,0.0,0.2
Cleveland Cavaliers,2022,8,0.537,111.9,109.7,2.2,2.04,236,2.8,2.7,2.7,1.5,1.1,0.8,0.4,0.4,0.1,0
Dallas Mavericks,2022,4,0.634,112.8,109.4,3.5,3.12,190,5.9,1.9,1.9,1.3,1.1,0.6,0.6,0.3,0.3,0.6
Denver Nuggets,2022,6,0.585,114.5,112.1,2.3,2.15,443,9.8,1.1,0.9,0.9,0.5,0.4,0.3,0.1,0.0,0.2
Detroit Pistons,2022,14,0.28,106.0,113.8,-7.8,-7.36,180,1.2,1.2,0.7,0.5,0.2,0.2,0.1,0.0,0.0,0
Golden State Warriors,2022,3,0.646,112.5,106.9,5.6,5.52,623,4.4,1.8,1.8,1.8,1.7,1.4,1.3,1.0,0.7,1
Houston Rockets,2022,15,0.244,108.4,116.7,-8.4,-8.26,153,1.9,0.4,0.4,0.2,0.2,0.1,0.1,0.1,0.1,0
Indiana Pacers,2022,13,0.305,112.6,116.1,-3.5,-3.26,150,3.1,1.3,1.1,0.5,0.5,0.3,0.2,0.2,0.0,0
Los Angeles Clippers,2022,8,0.512,110.1,110.1,0.0,0.09,685,2.0,1.6,1.6,1.3,1.2,1.1,0.8,0.7,0.6,0
Los Angeles Lakers,2022,11,0.402,110.3,113.3,-3.0,-3.08,789,5.1,2.0,0.8,0.7,0.4,0.2,0.1,0.0,0.0,0
Memphis Grizzlies,2022,2,0.683,114.6,109.0,5.6,5.37,134,3.9,2.7,2.0,2.0,1.6,1.4,1.2,1.2,1.0,0.4
Miami Heat,2022,1,0.646,113.7,109.1,4.6,4.23,562,4.0,2.7,2.1,1.5,1.3,1.2,1.1,0.7,0.3,0.6
Milwaukee Bucks,2022,3,0.622,115.1,111.8,3.3,3.22,702,7.4,2.9,1.9,1.4,1.1,1.1,0.2,0.1,0.1,0.4
Minnesota Timberwolves,2022,7,0.561,114.3,111.7,2.6,2.53,134,4.4,2.0,1.7,1.4,1.1,0.7,0.7,0.6,0.6,0.2
New Orleans Pelicans,2022,9,0.439,112.0,113.0,-1.0,-0.84,209,2.2,2.1,1.9,0.9,0.8,0.8,0.5,0.5,0.5,0.2
New York Knicks,2022,11,0.451,110.4,110.5,-0.1,-0.01,235,2.0,1.7,1.6,1.2,1.0,0.7,0.7,0.6,0.3,0
Oklahoma City Thunder,2022,14,0.293,104.6,112.8,-8.2,-7.9,100,2.7,1.1,0.6,0.5,0.5,0.1,0.1,0.0,-0.1,0
Orlando Magic,2022,15,0.268,104.5,112.5,-8.0,-7.67,89,1.7,1.2,0.9,0.8,0.8,0.4,0.2,0.0,-0.2,0
Philadelphia 76ers,2022,4,0.622,113.5,110.8,2.7,2.57,637,6.5,3.7,1.8,1.3,1.3,0.5,0.3,0.2,0.1,0.4
Phoenix Suns,2022,1,0.78,114.8,107.3,7.5,6.94,547,4.0,3.6,2.6,2.1,2.1,1.5,0.8,0.7,0.3,0.4
Portland Trail Blazers,2022,13,0.329,107.8,116.9,-9.0,-8.55,250,1.3,0.9,0.9,0.5,0.2,0.2,0.1,0.1,-0.1,0
Sacramento Kings,2022,12,0.366,109.9,115.3,-5.4,-5.26,177,3.2,1.4,0.7,0.7,0.6,0.4,0.3,0.2,0.2,0
San Antonio Spurs,2022,10,0.415,112.4,112.3,0.1,0.02,125,4.4,1.7,0.9,0.9,0.7,0.4,0.2,0.2,0.2,0
Toronto Raptors,2022,5,0.585,112.9,110.5,2.4,2.38,198,3.6,3.5,1.9,1.3,1.1,0.9,0.9,0.2,0.1,0.2
Utah Jazz,2022,5,0.598,116.7,110.5,6.2,5.67,320,3.6,3.6,2.7,1.7,1.2,1.1,0.7,0.3,0.3,0.2
Washington Wizards,2022,12,0.427,111.1,114.5,-3.5,-3.23,189,2.2,1.3,1.0,1.0,0.3,0.1,0.1,0.1,0.0,0
Atlanta Hawks,2023,8,0.5,116.6,116.3,0.3,0.32,224,3.4,2.1,1.8,1.3,0.9,0.9,0.6,0.4,0.4,0.2
Boston Celtics,2023,2,0.695,118.0,111.5,6.5,6.38,657,5.1,2.6,2.5,2.1,2.0,1.1,1.0,0.6,0.5,0.6
Brooklyn Nets,2023,6,0.549,115.0,114.1,0.9,1.03,381,2.9,2.8,1.8,1.4,0.7,0.5,0.3,0.3,0.0,0.2
Charlotte Hornets,2023,14,0.329,109.2,115.3,-6.1,-5.89,100,1.4,0.8,0.4,0.4,0.3,0.2,0.2,0.2,0.0,0
Chicago Bulls,2023,10,0.488,113.5,112.2,1.3,1.37,239,3.2,2.7,2.6,1.2,0.5,0.4,0.4,0.3,0.3,0
Cleveland Cavaliers,2023,4,0.622,116.1,110.6,5.6,5.23,325,5.0,2.7,2.5,2.4,1.0,0.7,0.5,0.3,0.2,0.2
Dallas Mavericks,2023,11,0.463,116.8,116.7,0.1,-0.14,432,6.6,3.5,1.6,0.3,0.1,0.1,0.0,0.0,-0.1,0
Denver Nuggets,2023,1,0.646,117.6,114.2,3.4,3.04,425,8.8,2.1,1.8,1.0,0.9,0.7,0.6,0.0,0.0,1
Detroit Pistons,2023,15,0.207,110.7,118.9,-8.2,-7.73,163,1.4,0.9,0.5,0.3,0.2,0.1,0.1,0.1,0.0,0
Golden State Warriors,2023,6,0.537,116.1,114.4,1.8,1.66,815,4.7,2.0,1.6,1.3,1.0,0.5,0.3,0.3,0.3,0.4
Houston Rockets,2023,14,0.268,111.4,119.3,-7.9,-7.62,92,1.9,1.3,0.7,0.3,0.2,0.2,0.1,0.0,0.0,0
Indiana Pacers,2023,11,0.427,114.6,117.7,-3.1,-2.9,295,4.4,2.4,1.9,1.0,0.3,0.1,0.0,0.0,0.0,0
Los Angeles Clippers,2023,5,0.537,115.0,114.5,0.5,0.31,776,3.5,2.3,2.2,1.2,1.0,0.9,0.8,0.7,0.6,0.2
Los Angeles Lakers,2023,7,0.524,114.5,113.9,0.6,0.43,512,4.0,4.0,2.0,1.5,1.2,0.5,0.5,0.2,0.0,0.6
Memphis Grizzlies,2023,2,0.622,115.1,111.2,3.9,3.6,215,3.8,2.5,2.2,1.7,1.3,1.2,1.1,0.9,0.8,0.2
Miami Heat,2023,7,0.537,113.0,113.3,-0.3,-0.13,656,5.8,2.3,1.6,0.9,0.8,0.4,0.2,0.2,0.0,0.8
Milwaukee Bucks,2023,1,0.707,115.4,111.9,3.6,3.61,756,5.4,2.8,2.5,1.2,1.0,0.6,0.6,0.3,0.3,0.2
Minnesota Timberwolves,2023,8,0.512,113.7,113.8,0.0,-0.22,281,2.2,2.1,1.5,1.4,1.2,1.0,0.5,0.2,0.2,0.2
New Orleans Pelicans,2023,9,0.512,114.4,112.5,1.9,1.63,241,2.3,1.9,1.9,1.5,1.4,0.8,0.8,0.3,0.3,0
New York Knicks,2023,5,0.573,117.8,114.8,3.0,2.99,117,3.9,3.5,2.1,1.8,1.7,1.0,0.7,0.4,0.3,0.4
Oklahoma City Thunder,2023,10,0.488,115.2,114.2,1.1,0.96,55,5.6,1.9,1.3,1.3,1.0,0.8,0.3,0.3,0.1,0
Orlando Magic,2023,13,0.415,111.6,114.2,-2.6,-2.39,70,1.3,1.3,1.3,1.2,0.7,0.4,0.4,0.3,0.3,0
Philadelphia 76ers,2023,3,0.659,117.7,113.3,4.4,4.37,562,6.4,4.0,1.7,1.6,1.3,0.4,0.2,0.1,0.1,0.4
Phoenix Suns,2023,4,0.549,115.1,113.0,2.1,2.08,625,3.9,2.9,2.5,1.5,0.7,0.6,0.2,0.2,0.2,0.4
Portland Trail Blazers,2023,13,0.402,114.8,118.8,-4.1,-3.96,181,4.9,1.0,0.8,0.7,0.5,0.4,0.1,0.0,-0.2,0
Sacramento Kings,2023,3,0.585,119.4,116.8,2.6,2.3,185,5.4,2.7,1.7,1.0,0.8,0.7,0.3,0.3,0.1,0.2
San Antonio Spurs,2023,15,0.268,110.2,120.0,-9.8,-9.82,83,0.7,0.6,0.6,0.5,0.5,0.3,0.1,-0.1,-0.1,0
Toronto Raptors,2023,9,0.5,115.5,114.0,1.5,1.59,339,3.4,2.9,1.6,1.5,1.2,1.0,0.7,0.4,0.1,0
Utah Jazz,2023,12,0.451,115.8,116.7,-0.9,-1.03,148,3.3,2.1,1.2,0.6,0.3,0.2,0.2,0.1,0.1,0
Washington Wizards,2023,12,0.427,114.4,115.6,-1.2,-1.06,266,3.4,1.7,1.6,1.2,1.1,0.8,0.2,0.2,0.1,0
Atlanta Hawks,2024,10,0.439,117.2,119.4,-2.2,-2.38,301,2.6,2.2,1.5,1.4,1.0,0.5,0.1,0.1,0.0,0
Boston Celtics,2024,1,0.78,123.2,111.6,11.6,10.74,609,4.7,3.5,3.0,2.5,2.4,1.6,1.4,1.4,1.3,1
Brooklyn Nets,2024,11,0.39,113.2,116.1,-3.0,-3.02,264,1.7,1.2,1.0,0.5,0.4,0.4,0.3,0.3,0.2,0
Charlotte Hornets,2024,13,0.256,109.3,119.8,-10.5,-10.12,147,1.0,0.6,0.3,0.2,0.1,0.0,0.0,0.0,-0.1,0
Chicago Bulls,2024,9,0.476,114.9,116.3,-1.5,-1.76,249,2.8,2.3,1.4,0.9,0.7,0.7,0.5,0.2,0.0,0
Cleveland Cavaliers,2024,4,0.585,115.2,112.7,2.5,1.98,359,3.9,3.1,1.9,1.1,0.8,0.7,0.6,0.5,0.4,0.4
Dallas Mavericks,2024,5,0.61,117.6,115.4,2.2,2.3,303,8.0,3.6,2.1,0.8,0.4,0.4,0.2,0.2,0.2,0.8
Denver Nuggets,2024,2,0.695,118.5,113.0,5.4,5.23,456,10.6,2.9,1.9,1.3,0.4,0.1,0.1,0.0,0.0,0.4
Detroit Pistons,2024,15,0.171,109.7,118.8,-9.1,-9.06,123,1.2,0.9,0.4,0.2,0.0,0.0,0.0,0.0,-0.1,0
Golden State Warriors,2024,10,0.561,117.8,115.2,2.6,2.77,832,4.4,1.6,1.4,1.2,0.9,0.9,0.9,0.8,0.8,0
Houston Rockets,2024,11,0.5,114.5,113.4,1.1,1.24,322,3.6,3.5,1.3,1.0,1.0,0.5,0.4,0.4,0.2,0
Indiana Pacers,2024,6,0.573,121.0,118.0,3.0,2.75,182,5.0,2.7,1.6,1.5,1.5,1.2,0.8,0.7,0.2,0.6
Los Angeles Clippers,2024,4,0.622,118.8,115.4,3.4,3.41,907,4.4,3.8,3.3,1.3,1.0,0.6,0.2,0.2,0.1,0.2
Los Angeles Lakers,2024,8,0.573,115.9,115.3,0.6,1.07,542,5.4,4.9,1.8,1.6,0.5,0.1,0.0,0.0,0.0,0.2
Memphis Grizzlies,2024,13,0.329,107.2,114.3,-7.1,-6.57,304,1.7,1.3,0.7,0.5,0.5,0.4,0.4,0.4,0.3,0
Miami Heat,2024,8,0.561,114.0,112.2,1.8,1.1,659,3.4,2.7,1.8,1.3,1.0,0.6,0.5,0.5,0.5,0.2
Milwaukee Bucks,2024,3,0.598,118.4,115.8,2.6,2.44,692,7.2,2.7,1.8,1.2,0.6,0.3,0.2,0.2,0.1,0.2
Minnesota Timberwolves,2024,3,0.683,115.6,109.0,6.6,6.38,294,3.7,3.0,2.5,2.3,1.7,1.4,1.1,1.0,0.3,0.6
New Orleans Pelicans,2024,7,0.598,117.4,112.9,4.5,4.46,205,3.3,2.8,1.9,1.7,1.6,1.6,1.2,0.9,0.5,0.2
New York Knicks,2024,2,0.61,118.2,113.4,4.8,4.36,268,5.4,3.2,2.6,1.6,1.4,0.6,0.6,0.4,0.2,0.4
Oklahoma City Thunder,2024,1,0.695,119.5,112.1,7.4,7.36,134,7.1,3.3,2.4,1.8,1.0,0.9,0.8,0.7,0.3,0.4
Orlando Magic,2024,5,0.573,113.4,111.3,2.1,1.48,91,2.3,1.9,1.5,1.4,1.4,1.0,1.0,1.0,0.5,0.2
Philadelphia 76ers,2024,7,0.573,116.9,113.8,3.1,2.51,492,4.5,3.4,1.7,1.3,0.9,0.7,0.6,0.5,0.4,0.2
Phoenix Suns,2024,6,0.598,117.6,114.6,3.1,3.08,545,4.3,3.1,2.0,1.6,1.1,0.6,0.5,0.4,0.2,0.2
Portland Trail Blazers,2024,15,0.256,108.3,117.5,-9.2,-8.29,223,1.1,1.0,0.9,0.9,0.8,0.3,0.2,0.1,-0.1,0
Sacramento Kings,2024,9,0.561,116.9,115.2,1.7,2.29,255,6.2,3.2,1.2,0.8,0.8,0.5,0.3,0.2,0.1,0
San Antonio Spurs,2024,14,0.268,110.0,116.4,-6.4,-5.8,49,3.8,1.1,0.9,0.2,0.2,0.2,0.1,0.0,0.0,0
Toronto Raptors,2024,12,0.305,112.3,118.8,-6.4,-6.45,221,3.0,1.7,1.7,0.9,0.6,0.3,0.1,0.0,-0.1,0
Utah Jazz,2024,12,0.378,115.5,120.4,-4.9,-4.22,112,2.6,2.0,1.1,0.6,0.5,0.2,0.1,0.1,0.1,0
Washington Wizards,2024,14,0.183,110.5,119.6,-9.0,-9.29,157,1.3,0.6,0.5,0.4,0.0,0.0,0.0,0.0,-0.1,0
Atlanta Hawks,2025,8,0.488,114.6,115.7,-1.1,-1.41,308,2.3,1.7,1.7,1.2,0.8,0.4,0.4,0.3,0.2,
Boston Celtics,2025,2,0.744,120.6,111.1,9.4,8.28,672,4.8,3.6,3.2,2.1,1.8,1.3,1.3,1.1,1.1,
Brooklyn Nets,2025,12,0.317,108.5,115.8,-7.3,-6.95,137,2.3,1.1,0.7,0.5,0.5,-0.1,-0.1,-0.1,-0.2,
Charlotte Hornets,2025,14,0.232,107.3,116.6,-9.3,-9.1,260,2.0,2.0,1.6,0.4,0.4,0.4,0.1,0.1,0.0,
Chicago Bulls,2025,9,0.476,114.1,115.6,-1.5,-1.83,133,2.7,2.7,0.8,0.7,0.7,0.5,0.4,0.1,0.0,
Cleveland Cavaliers,2025,1,0.78,121.7,112.2,9.5,8.81,329,3.6,3.6,3.2,3.0,2.2,1.1,0.8,0.7,0.6,
Dallas Mavericks,2025,10,0.476,114.8,116.0,-1.2,-0.74,593,2.5,1.8,1.1,0.6,0.5,0.5,0.4,0.4,0.3,
Denver Nuggets,2025,4,0.61,119.9,116.0,3.9,3.97,552,9.8,1.7,1.6,1.2,1.2,0.5,0.2,0.1,0.1,
Detroit Pistons,2025,6,0.537,115.0,113.1,1.9,1.73,243,3.7,2.7,1.6,1.2,1.2,0.9,0.5,0.5,0.3,
Golden State Warriors,2025,7,0.585,115.0,111.7,3.3,3.56,582,4.8,1.7,1.3,1.2,0.8,0.8,0.7,0.5,0.5,
Houston Rockets,2025,2,0.634,115.3,110.8,4.6,4.96,272,3.9,3.4,2.0,1.7,1.5,0.6,0.5,0.5,0.4,
Indiana Pacers,2025,4,0.61,116.5,114.3,2.2,1.68,332,4.9,2.4,1.4,1.3,1.2,0.6,0.4,0.3,0.2,
Los Angeles Clippers,2025,5,0.61,115.1,110.3,4.7,4.84,741,4.4,3.4,1.8,1.5,1.2,1.0,0.8,0.4,0.2,
Los Angeles Lakers,2025,3,0.61,115.9,114.7,1.2,1.45,647,4.7,2.6,2.1,0.6,0.5,0.2,0.2,0.2,0.1,
Memphis Grizzlies,2025,8,0.585,117.7,113.0,4.7,4.79,125,2.9,2.4,2.2,1.7,1.7,1.2,1.1,0.9,0.7,
Miami Heat,2025,10,0.451,113.5,112.9,0.6,0.11,512,3.5,2.7,0.7,0.7,0.5,0.4,0.4,0.3,0.3,
Milwaukee Bucks,2025,5,0.585,115.9,113.4,2.5,2.12,437,6.6,3.2,1.8,0.7,0.6,0.3,0.2,0.1,0.0,
Minnesota Timberwolves,2025,6,0.598,116.6,111.5,5.1,5.15,394,4.6,2.4,2.0,1.8,1.6,1.4,1.4,0.8,0.3,
New Orleans Pelicans,2025,14,0.256,110.4,119.9,-9.5,-8.59,218,1.9,1.3,0.3,0.2,0.1,0.1,0.0,-0.1,-0.1,
New York Knicks,2025,3,0.622,118.5,114.3,4.2,3.59,498,3.6,3.5,3.1,1.9,1.2,0.8,0.5,0.4,0.1,
Oklahoma City Thunder,2025,1,0.829,120.3,107.5,12.8,12.7,178,8.9,3.4,2.1,1.6,1.5,1.4,1.4,1.2,1.2,
Orlando Magic,2025,7,0.5,109.4,109.6,-0.1,-0.7,241,2.6,2.2,1.6,0.9,0.7,0.7,0.6,0.3,0.3,
Philadelphia 76ers,2025,13,0.293,111.9,118.2,-6.4,-6.29,500,2.0,1.2,0.8,0.5,0.5,0.3,0.3,0.3,0.1,
Phoenix Suns,2025,11,0.439,116.2,119.3,-3.1,-2.55,529,3.0,1.7,1.1,1.0,0.7,0.5,0.5,0.4,0.3,
Portland Trail Blazers,2025,12,0.439,111.7,114.7,-3.0,-2.67,180,2.2,1.2,1.1,0.6,0.6,0.4,0.4,0.4,0.3,
Sacramento Kings,2025,9,0.488,116.7,116.2,0.5,0.58,336,4.4,1.9,1.8,1.3,1.0,0.8,0.6,0.4,0.2,
San Antonio Spurs,2025,13,0.415,114.4,117.2,-2.8,-2.45,284,3.3,1.6,1.3,1.2,0.7,0.4,0.4,0.3,0.2,
Toronto Raptors,2025,11,0.366,110.5,114.8,-4.3,-4.4,121,2.3,1.7,1.2,1.0,0.9,0.5,0.1,0.0,0.0,
Utah Jazz,2025,15,0.207,111.2,120.4,-9.3,-8.51,96,1.7,0.9,0.7,0.6,0.4,0.3,0.1,0.0,0.0,
Washington Wizards,2025,15,0.22,106.8,119.1,-12.3,-12.13,283,1.2,0.6,0.5,0.4,0.2,0.1,0.1,-0.1,-0.2,